# file...... C:/Users/Surya/OneDrive/Desktop/qkd-grid-anomaly/data/raw_normal.csv
# date...... Sat May 10 11:54:10 2025
# user...... Surya
# host...... (null)
# target.... meter 51
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,voltage_C
2000-01-01 00:00:00 EST,-1140.87+2161.1j
2000-01-01 00:00:01 EST,-1140.87+2161.1j
2000-01-01 00:00:02 EST,-1140.87+2161.1j
2000-01-01 00:00:03 EST,-1140.87+2161.1j
2000-01-01 00:00:04 EST,-1140.87+2161.1j
2000-01-01 00:00:05 EST,-1140.87+2161.1j
2000-01-01 00:00:06 EST,-1140.87+2161.1j
2000-01-01 00:00:07 EST,-1140.87+2161.1j
2000-01-01 00:00:08 EST,-1140.87+2161.1j
2000-01-01 00:00:09 EST,-1140.87+2161.1j
2000-01-01 00:00:10 EST,-1140.87+2161.1j
2000-01-01 00:00:11 EST,-1140.87+2161.1j
2000-01-01 00:00:12 EST,-1140.87+2161.1j
2000-01-01 00:00:13 EST,-1140.87+2161.1j
2000-01-01 00:00:14 EST,-1140.87+2161.1j
2000-01-01 00:00:15 EST,-1140.87+2161.1j
2000-01-01 00:00:16 EST,-1140.87+2161.1j
2000-01-01 00:00:17 EST,-1140.87+2161.1j
2000-01-01 00:00:18 EST,-1140.87+2161.1j
2000-01-01 00:00:19 EST,-1140.87+2161.1j
2000-01-01 00:00:20 EST,-1140.87+2161.1j
2000-01-01 00:00:21 EST,-1140.87+2161.1j
2000-01-01 00:00:22 EST,-1140.87+2161.1j
2000-01-01 00:00:23 EST,-1140.87+2161.1j
2000-01-01 00:00:24 EST,-1140.87+2161.1j
2000-01-01 00:00:25 EST,-1140.87+2161.1j
2000-01-01 00:00:26 EST,-1140.87+2161.1j
2000-01-01 00:00:27 EST,-1140.87+2161.1j
2000-01-01 00:00:28 EST,-1140.87+2161.1j
2000-01-01 00:00:29 EST,-1140.87+2161.1j
2000-01-01 00:00:30 EST,-1140.87+2161.1j
2000-01-01 00:00:31 EST,-1140.87+2161.1j
2000-01-01 00:00:32 EST,-1140.87+2161.1j
2000-01-01 00:00:33 EST,-1140.87+2161.1j
2000-01-01 00:00:34 EST,-1140.87+2161.1j
2000-01-01 00:00:35 EST,-1140.87+2161.1j
2000-01-01 00:00:36 EST,-1140.87+2161.1j
2000-01-01 00:00:37 EST,-1140.87+2161.1j
2000-01-01 00:00:38 EST,-1140.87+2161.1j
